state,seed,ubvec_pop,ubvec_minority,num_mm,target_mm,max_minority_pct,edge_cut,success,runtime,error
LA,44,1.005,1.3,1,2,55.60859495129468,331,False,3.6263389587402344,
LA,45,1.005,1.3,1,2,55.60859495129468,331,False,3.77125883102417,
LA,46,1.005,1.3,1,2,55.60859495129468,331,False,3.8751516342163086,
LA,47,1.005,1.3,1,2,55.60859495129468,331,False,3.708601951599121,
LA,48,1.005,1.3,1,2,55.60859495129468,331,False,4.586292505264282,
LA,49,1.005,1.3,1,2,55.60859495129468,331,False,4.032858610153198,
LA,50,1.005,1.3,1,2,55.60859495129468,331,False,3.678098440170288,
LA,51,1.005,1.3,1,2,55.60859495129468,331,False,3.9004247188568115,
LA,52,1.005,1.3,1,2,55.60859495129468,331,False,3.7371935844421387,
LA,53,1.005,1.3,1,2,55.60859495129468,331,False,4.095306158065796,
LA,54,1.005,1.3,1,2,55.60859495129468,331,False,4.019098997116089,
LA,55,1.005,1.3,1,2,55.60859495129468,331,False,4.070609092712402,
LA,42,1.005,1.5,1,2,53.00809862720609,214,False,4.457973003387451,
LA,43,1.005,1.5,1,2,53.00809862720609,214,False,4.529657602310181,
LA,44,1.005,1.5,1,2,53.00809862720609,214,False,4.362529039382935,
LA,45,1.005,1.5,1,2,53.00809862720609,214,False,4.2199413776397705,
LA,46,1.005,1.5,1,2,53.00809862720609,214,False,4.74491810798645,
LA,47,1.005,1.5,1,2,53.00809862720609,214,False,4.496517658233643,
LA,48,1.005,1.5,1,2,53.00809862720609,214,False,4.972087144851685,
LA,49,1.005,1.5,1,2,53.00809862720609,214,False,5.260000705718994,
LA,50,1.005,1.5,1,2,53.00809862720609,214,False,5.222764730453491,
LA,51,1.005,1.5,1,2,53.00809862720609,214,False,4.847515344619751,
LA,52,1.005,1.5,1,2,53.00809862720609,214,False,4.32859992980957,
LA,53,1.005,1.5,1,2,53.00809862720609,214,False,4.529652833938599,
LA,54,1.005,1.5,1,2,53.00809862720609,214,False,4.648544073104858,
LA,55,1.005,1.5,1,2,53.00809862720609,214,False,5.216142177581787,
LA,42,1.005,2.0,0,2,49.20347263103488,267,False,5.242459058761597,
LA,43,1.005,2.0,0,2,49.20347263103488,267,False,4.654245376586914,
LA,44,1.005,2.0,0,2,49.20347263103488,267,False,4.546253681182861,
LA,45,1.005,2.0,0,2,49.20347263103488,267,False,4.518747091293335,
LA,46,1.005,2.0,0,2,49.20347263103488,267,False,4.585093259811401,
LA,47,1.005,2.0,0,2,49.20347263103488,267,False,4.444700479507446,
LA,48,1.005,2.0,0,2,49.20347263103488,267,False,4.301790714263916,
LA,49,1.005,2.0,0,2,49.20347263103488,267,False,4.432952404022217,
LA,50,1.005,2.0,0,2,49.20347263103488,267,False,5.275899648666382,
LA,51,1.005,2.0,0,2,49.20347263103488,267,False,5.434126853942871,
LA,52,1.005,2.0,0,2,49.20347263103488,267,False,4.667934417724609,
LA,53,1.005,2.0,0,2,49.20347263103488,267,False,5.007492780685425,
LA,54,1.005,2.0,0,2,49.20347263103488,267,False,4.836474895477295,
LA,55,1.005,2.0,0,2,49.20347263103488,267,False,4.5543601512908936,
LA,42,1.005,2.5,1,2,50.85676693272052,303,False,4.555437326431274,
LA,43,1.005,2.5,1,2,50.85676693272052,303,False,4.7947471141815186,
LA,44,1.005,2.5,1,2,50.85676693272052,303,False,4.251638174057007,
LA,45,1.005,2.5,1,2,50.85676693272052,303,False,4.398732423782349,
LA,46,1.005,2.5,1,2,50.85676693272052,303,False,4.45361852645874,
LA,47,1.005,2.5,1,2,50.85676693272052,303,False,4.576959848403931,
LA,48,1.005,2.5,1,2,50.85676693272052,303,False,4.850985050201416,
LA,49,1.005,2.5,1,2,50.85676693272052,303,False,7.029735326766968,
LA,50,1.005,2.5,1,2,50.85676693272052,303,False,5.287035942077637,
LA,51,1.005,2.5,1,2,50.85676693272052,303,False,5.766672849655151,
LA,52,1.005,2.5,1,2,50.85676693272052,303,False,4.565598964691162,
LA,53,1.005,2.5,1,2,50.85676693272052,303,False,4.0529491901397705,
LA,54,1.005,2.5,1,2,50.85676693272052,303,False,3.9054114818573,
LA,55,1.005,2.5,1,2,50.85676693272052,303,False,4.0894105434417725,
LA,42,1.005,3.0,1,2,51.762518423145764,191,False,3.864854574203491,
LA,43,1.005,3.0,1,2,51.762518423145764,191,False,3.995556354522705,
LA,44,1.005,3.0,1,2,51.762518423145764,191,False,3.7604899406433105,
