state,method,weight_factor,minority_threshold,district_id,minority_pct,is_mm,polsby_popper,reock,convex_hull_ratio,internal_edges,num_tracts,urbanization
GA,baseline,1.0,,12,0.2414509843370928,False,0.2096196838406858,0.6631493450069297,0.8213680721308173,492,185,mixed
GA,baseline,1.0,,13,0.2838886842194648,False,0.1818804926229638,0.5764410400920595,0.7421700961320179,540,195,mixed
LA,baseline,1.0,,0,0.4793618063252313,False,0.2882265840438553,0.6268689447204827,0.786125334842186,572,187,mixed
LA,baseline,1.0,,1,0.5238466384362387,True,0.0943662620013386,0.2761819842268209,0.387568159841834,854,283,urban
LA,baseline,1.0,,2,0.4521680986669449,False,0.1742693575745648,0.5172120249916962,0.672068576289988,660,227,mixed
LA,baseline,1.0,,3,0.477678422045647,False,0.3854341709746923,0.6905144181096351,0.91458542624874,670,232,mixed
LA,baseline,1.0,,4,0.3532547323044556,False,0.1761314414245784,0.5296256476435645,0.7154141540354936,645,223,mixed
LA,baseline,1.0,,5,0.3686499000207298,False,0.1486195079369689,0.5345819585402412,0.7547792139746399,672,236,mixed
MS,baseline,1.0,,0,0.5255337588284844,True,0.2575719529779137,0.6971193383410379,0.8605124306086054,601,213,urban
MS,baseline,1.0,,1,0.3454003297874208,False,0.3950208437027169,0.7656510790615889,0.9126964858480706,715,237,mixed
MS,baseline,1.0,,2,0.3766271364833018,False,0.2749872656995402,0.6791888830288582,0.8088581697763338,555,201,mixed
MS,baseline,1.0,,3,0.538227083996998,True,0.2085729512775043,0.5979840256781154,0.7938103254973146,623,227,rural
SC,baseline,1.0,,0,0.3658635099018577,False,0.1696484353864387,0.5945661269812268,0.6392298312999214,475,174,mixed
SC,baseline,1.0,,1,0.3309183178558608,False,0.3844393691204367,0.6990675602317387,0.8731252876659775,519,174,mixed
SC,baseline,1.0,,2,0.2830452937702051,False,0.2735950723114476,0.5970284783130395,0.7777575256965811,589,201,mixed
SC,baseline,1.0,,3,0.3740518962075848,False,0.2590651285858336,0.6054564068310575,0.8068438713912752,484,166,mixed
