state,k,target_mm,method,tree_structure,weight_factor,minority_threshold,max_minority_pct,mm_count,district_pcts,runtime
alabama,7,2,predetermined,"(3, 4)",4,0.4,0.50373450788674,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",4.501883846119846
alabama,7,2,predetermined,"(4, 3)",4,0.4,0.4964169671544358,1.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",4.42058131726494
alabama,7,2,predetermined,"(5, 2)",4,0.4,0.49012216889481697,1.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",4.496528121093247
alabama,7,2,predetermined,"(6, 1)",4,0.4,0.5500086813834967,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",4.744955713537469
alabama,7,2,adaptive,"adaptive_selected: (1, 6)",4,0.4,0.5210850861642363,1.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",29.158257035678538
alabama,7,2,nway,,4,0.4,0.493103412135975,2.0,,4.466356506077784
alabama,7,2,predetermined,"(1, 6)",5,0.4,0.4833724236034216,1.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",6.106184244155884
alabama,7,2,predetermined,"(2, 5)",5,0.4,0.5308204534645065,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",5.032231569290161
alabama,7,2,predetermined,"(3, 4)",5,0.4,0.5462605339608776,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",5.033259153366089
alabama,7,2,predetermined,"(4, 3)",5,0.4,0.5425887230721446,1.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",4.942360162734985
alabama,7,2,predetermined,"(5, 2)",5,0.4,0.4773964705988824,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",5.027271270751953
alabama,7,2,predetermined,"(6, 1)",5,0.4,0.49691201727530876,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",5.3050217628479
alabama,7,2,adaptive,"adaptive_selected: (1, 6)",5,0.4,0.49065377871402693,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",32.59992241859436
alabama,7,2,nway,,5,0.4,0.5014614299382447,2.0,,4.9935383796691895
alabama,7,2,predetermined,"(1, 6)",7,0.4,0.533932848382653,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",7.2249346317464065
alabama,7,2,predetermined,"(2, 5)",7,0.4,0.5510870315875255,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",5.954216690190635
alabama,7,2,predetermined,"(3, 4)",7,0.4,0.5197072752763688,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",5.955432544066041
alabama,7,2,predetermined,"(4, 3)",7,0.4,0.4879441304283243,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",5.847879407910675
alabama,7,2,predetermined,"(5, 2)",7,0.4,0.507167347152197,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",5.948347585810629
alabama,7,2,predetermined,"(6, 1)",7,0.4,0.5576621660270479,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",6.27698640001759
alabama,7,2,adaptive,"adaptive_selected: (1, 6)",7,0.4,0.5110439936890303,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",38.57274839025241
alabama,7,2,nway,,7,0.4,0.49886397677891786,2.0,,5.908434290818581
alabama,7,2,predetermined,"(1, 6)",10,0.4,0.5031039876236719,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",8.635448572434157
alabama,7,2,predetermined,"(2, 5)",10,0.4,0.5167408201982866,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",7.11665013429219
alabama,7,2,predetermined,"(3, 4)",10,0.4,0.543239296458219,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",7.118103357628845
alabama,7,2,predetermined,"(4, 3)",10,0.4,0.49604426995407475,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",6.989552772272314
alabama,7,2,predetermined,"(5, 2)",10,0.4,0.4891825599319985,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",7.109635212826037
alabama,7,2,predetermined,"(6, 1)",10,0.4,0.49643468858422446,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",7.502433725703926
alabama,7,2,adaptive,"adaptive_selected: (1, 6)",10,0.4,0.529940380183215,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",46.10325241668686
alabama,7,2,nway,,10,0.4,0.5160702742073556,2.0,,7.061929700758737
alabama,7,2,predetermined,"(1, 6)",20,0.4,0.508297658686116,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",12.212368488311768
alabama,7,2,predetermined,"(2, 5)",20,0.4,0.508297658686116,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",10.064463138580322
alabama,7,2,predetermined,"(3, 4)",20,0.4,0.508297658686116,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",10.066518306732178
alabama,7,2,predetermined,"(4, 3)",20,0.4,0.508297658686116,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",9.88472032546997
alabama,7,2,predetermined,"(5, 2)",20,0.4,0.508297658686116,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",10.054542541503906
alabama,7,2,predetermined,"(6, 1)",20,0.4,0.508297658686116,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",10.6100435256958
alabama,7,2,adaptive,"adaptive_selected: (1, 6)",20,0.4,0.508297658686116,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",65.19984483718872
alabama,7,2,nway,,20,0.4,0.508297658686116,2.0,,9.987076759338379
alabama,7,2,predetermined,"(1, 6)",50,0.4,0.508297658686116,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",19.309450024166292
alabama,7,2,predetermined,"(2, 5)",50,0.4,0.508297658686116,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",15.913313472360343
alabama,7,2,predetermined,"(3, 4)",50,0.4,0.508297658686116,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",15.916562978527594
alabama,7,2,predetermined,"(4, 3)",50,0.4,0.508297658686116,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",15.629115131123001
alabama,7,2,predetermined,"(5, 2)",50,0.4,0.508297658686116,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",15.897627631105202
alabama,7,2,predetermined,"(6, 1)",50,0.4,0.508297658686116,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",16.77595180736099
alabama,7,2,adaptive,"adaptive_selected: (1, 6)",50,0.4,0.508297658686116,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",103.09000638754327
alabama,7,2,nway,,50,0.4,0.508297658686116,2.0,,15.790954863221286
alabama,7,2,predetermined,"(1, 6)",100,0.4,0.508297658686116,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",27.30768610614146
alabama,7,2,predetermined,"(2, 5)",100,0.4,0.508297658686116,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",22.504823734906488
alabama,7,2,predetermined,"(3, 4)",100,0.4,0.508297658686116,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",22.509419230599228
alabama,7,2,predetermined,"(4, 3)",100,0.4,0.508297658686116,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",22.1029065863247
alabama,7,2,predetermined,"(5, 2)",100,0.4,0.508297658686116,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",22.482640605466237
alabama,7,2,predetermined,"(6, 1)",100,0.4,0.508297658686116,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",23.72477856768735
alabama,7,2,adaptive,"adaptive_selected: (1, 6)",100,0.4,0.508297658686116,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",145.79128517839268
alabama,7,2,nway,,100,0.4,0.508297658686116,2.0,,22.331782530388924
georgia,14,5,predetermined,"(1, 13)",1,0.4,0.8125577426151709,6.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",3.3534903708136388
georgia,14,5,predetermined,"(2, 12)",1,0.4,0.8628503002063216,6.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",3.451610281423378
georgia,14,5,predetermined,"(3, 11)",1,0.4,0.8042501486531017,5.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",3.4070880315869934
georgia,14,5,predetermined,"(4, 10)",1,0.4,0.8223024778646078,6.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",3.4501610476076996
georgia,14,5,predetermined,"(5, 9)",1,0.4,0.8523799296569838,5.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",3.441893953442115
georgia,14,5,predetermined,"(6, 8)",1,0.4,0.8506891702607404,6.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",3.3137946709429924
georgia,14,5,predetermined,"(7, 7)",1,0.4,0.7698555001960142,5.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",3.3398444142069468
georgia,14,5,predetermined,"(8, 6)",1,0.4,0.8178190283594697,6.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",3.415550247727467
georgia,14,5,predetermined,"(9, 5)",1,0.4,0.8303247930360852,6.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",3.460950439826823
georgia,14,5,predetermined,"(10, 4)",1,0.4,0.8575841109327133,6.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",3.5176832735781205
georgia,14,5,predetermined,"(11, 3)",1,0.4,0.8505201723873381,6.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",3.3655275840557817
georgia,14,5,predetermined,"(12, 2)",1,0.4,0.8345120219090986,5.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",3.2442640747436045
georgia,14,5,predetermined,"(13, 1)",1,0.4,0.7455826080912653,5.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",3.183344861702652
georgia,14,5,adaptive,"adaptive_selected: (1, 13)",1,0.4,0.836823202181667,5.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",50.6666668419036
georgia,14,5,nway,,1,0.4,0.8410058160990015,5.0,,2.963201319070908
georgia,14,5,predetermined,"(1, 13)",2,0.4,0.9524840513922869,5.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",4.742551563692228
georgia,14,5,predetermined,"(2, 12)",2,0.4,0.8291692256400802,5.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",4.881314072015357
georgia,14,5,predetermined,"(3, 11)",2,0.4,0.8521042106726009,6.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",4.8183501024693784
georgia,14,5,predetermined,"(4, 10)",2,0.4,0.8911694381343962,5.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",4.879264545898175
georgia,14,5,predetermined,"(5, 9)",2,0.4,0.8730181919082145,6.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",4.86757310920779
georgia,14,5,predetermined,"(6, 8)",2,0.4,0.903241400264635,6.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",4.686413366567268
georgia,14,5,predetermined,"(7, 7)",2,0.4,0.7730056890174335,6.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",4.723253266787489
georgia,14,5,predetermined,"(8, 6)",2,0.4,0.7921053826569908,5.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",4.830317483302969
georgia,14,5,predetermined,"(9, 5)",2,0.4,0.8118052048678979,6.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",4.894523050704222
georgia,14,5,predetermined,"(10, 4)",2,0.4,0.7660954804020885,6.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",4.974755393627165
georgia,14,5,predetermined,"(11, 3)",2,0.4,0.8412854151490521,5.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",4.759574753912443
georgia,14,5,predetermined,"(12, 2)",2,0.4,0.7954075233921383,6.0,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",4.588082254422206
